strategy,strategy_label,days,daily_mean_final_pv,daily_se_final_pv,daily_ci95_final_pv,daily_mean_avg_q2,daily_se_avg_q2,daily_ci95_avg_q2,daily_mean_fill_rate,daily_mean_order_submission_rate,daily_mean_no_trade_rate,daily_mean_spread,daily_mean_abs_skew
as_classical_control,AS classical,24,-0.1834149851801181,0.04236919553675568,0.08304362325204113,47.74964019037848,7.609808817688314,14.915225282669097,0.007140083504331921,1.0,0.9859870183538533,0.07529556490110563,0.00021534376061774763
symmetric_mm,Symmetric MM,24,-0.18452305631554886,0.04056347889792227,0.07950441863992765,61.36295528385773,10.80042849798406,21.168839856048756,0.007361402046283592,1.0,0.9855621936274509,0.07496928258948914,0.0
no_trade,No-trade,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
