gamma_label,gamma,mean_final_pv,std_final_pv,mean_avg_q2,mean_max_abs_inventory,mean_fill_rate,mean_spread,mean_skew_abs,inventory_risk_threshold,selection_score,selected
zero,0.0,-0.07400766073871348,1.43511597471951,30.84206480848153,2.9456634746922026,0.0034856172981025642,0.07515386029411769,0.0,400.0,-0.07400766073871348,False
calibrated,0.037446853339608885,-0.07299904240766066,1.2018426090488494,24.428281891244872,2.79625170998632,0.0033723067715458275,0.07533458447332424,0.00011753016355750369,400.0,-0.07299904240766066,True
one_tick,0.07489370667921778,-0.0744938440492486,1.1039055265681113,21.381119613543092,2.699233926128591,0.0033605506155950753,0.07542045571135433,0.00022584426232792563,400.0,-0.0744938440492486,False
four_tick,0.29957482671687113,-0.07745417236661938,0.8633758500858931,13.04094006497948,2.418002735978112,0.003548221614227086,0.07541704856361152,0.0007234028193399929,400.0,-0.07745417236661938,False
