date,q,side,n_complete,median_impact,p90_impact,half_spread,eta_slope
2025-11-12,10,buy,250000,0.014999999999986358,0.020000000000010232,0.015000000000000568,0.0
2025-11-12,10,sell,250000,0.014999999999986358,0.020000000000010232,0.015000000000000568,0.0
2025-11-12,20,buy,250000,0.014999999999986358,0.020000000000038654,0.015000000000000568,0.0
2025-11-12,20,sell,250000,0.014999999999986358,0.020000000000038654,0.015000000000000568,0.0
2025-11-12,50,buy,250000,0.014999999999986358,0.023000000000052978,0.015000000000000568,0.0
2025-11-12,50,sell,250000,0.014999999999986358,0.024599999999992406,0.015000000000000568,0.0
2025-11-12,100,buy,250000,0.01500000000001478,0.025500000000022283,0.015000000000000568,1.4210854715202004e-16
2025-11-12,100,sell,250000,0.01629999999997267,0.026500000000027057,0.015000000000000568,1.2999999999721012e-05
2025-11-12,200,buy,250000,0.019350000000031287,0.030249999999995225,0.015000000000000568,2.175000000015359e-05
2025-11-12,200,sell,250000,0.020000000000010232,0.0313499999999749,0.015000000000000568,2.5000000000048316e-05
2025-11-12,400,buy,249969,0.02489999999994552,0.03787499999998545,0.015000000000000568,2.4749999999862383e-05
2025-11-12,400,sell,249966,0.025999999999982037,0.038775000000015325,0.015000000000000568,2.749999999995367e-05
2025-11-12,600,buy,249779,0.030416666666695846,0.044566666666639776,0.015000000000000568,2.569444444449213e-05
2025-11-12,600,sell,249658,0.0313499999999749,0.045166666666659694,0.015000000000000568,2.7249999999957216e-05
2025-11-13,10,buy,250000,0.010000000000047748,0.020000000000010232,0.010000000000005116,4.263256414560601e-15
2025-11-13,10,sell,250000,0.010000000000047748,0.020000000000010232,0.010000000000005116,4.263256414560601e-15
2025-11-13,20,buy,250000,0.014999999999957936,0.020000000000010232,0.010000000000005116,0.000249999999997641
2025-11-13,20,sell,250000,0.014999999999986358,0.020000000000010232,0.010000000000005116,0.00024999999999906206
2025-11-13,50,buy,250000,0.014999999999986358,0.02199999999999136,0.010000000000005116,9.999999999962483e-05
2025-11-13,50,sell,250000,0.014999999999986358,0.02339999999998099,0.010000000000005116,9.999999999962483e-05
2025-11-13,100,buy,250000,0.014999999999986358,0.025000000000005684,0.010000000000005116,4.9999999999812415e-05
2025-11-13,100,sell,250000,0.015999999999991132,0.026500000000027057,0.010000000000005116,5.9999999999860167e-05
2025-11-13,200,buy,250000,0.018000000000000682,0.029150000000015552,0.010000000000005116,3.999999999997783e-05
2025-11-13,200,sell,249999,0.020000000000038654,0.03215000000002988,0.010000000000005116,5.000000000016769e-05
2025-11-13,400,buy,249913,0.023875000000003865,0.03712500000000318,0.010000000000005116,3.468749999999687e-05
2025-11-13,400,sell,249807,0.02682500000000232,0.041449999999997544,0.010000000000005116,4.2062499999993006e-05
2025-11-13,600,buy,248815,0.02948333333335995,0.04408333333336145,0.010000000000005116,3.247222222225806e-05
2025-11-13,600,sell,247734,0.032666666666699484,0.04903333333331261,0.010000000000005116,3.7777777777823945e-05
2025-11-14,10,buy,250000,0.014999999999986358,0.024999999999977263,0.015000000000000568,0.0
2025-11-14,10,sell,250000,0.014999999999986358,0.024999999999977263,0.015000000000000568,0.0
2025-11-14,20,buy,250000,0.014999999999986358,0.025000000000005684,0.015000000000000568,0.0
2025-11-14,20,sell,250000,0.014999999999986358,0.025000000000005684,0.015000000000000568,0.0
2025-11-14,50,buy,250000,0.01500000000001478,0.025000000000005684,0.015000000000000568,2.842170943040401e-16
2025-11-14,50,sell,250000,0.01500000000001478,0.025000000000005684,0.015000000000000568,2.842170943040401e-16
2025-11-14,100,buy,250000,0.015399999999999636,0.028999999999996362,0.015000000000000568,3.999999999990677e-06
2025-11-14,100,sell,250000,0.016500000000036152,0.028999999999996362,0.015000000000000568,1.500000000035584e-05
2025-11-14,200,buy,250000,0.019650000000012824,0.03264999999998963,0.015000000000000568,2.3250000000061277e-05
2025-11-14,200,sell,249993,0.020000000000010232,0.03284999999999627,0.015000000000000568,2.5000000000048316e-05
2025-11-14,400,buy,249902,0.024025000000023056,0.03882499999997435,0.015000000000000568,2.256250000005622e-05
2025-11-14,400,sell,249709,0.025524999999959164,0.03954999999996289,0.015000000000000568,2.631249999989649e-05
2025-11-14,600,buy,249266,0.028083333333313476,0.04409999999998604,0.015000000000000568,2.1805555555521514e-05
2025-11-14,600,sell,248478,0.029916666666679248,0.04529999999999745,0.015000000000000568,2.4861111111131134e-05
2025-11-17,10,buy,250000,0.010000000000019327,0.020000000000010232,0.010000000000005116,1.4210854715202005e-15
2025-11-17,10,sell,250000,0.010000000000019327,0.020000000000010232,0.010000000000005116,1.4210854715202005e-15
2025-11-17,20,buy,250000,0.010000000000047748,0.020000000000010232,0.010000000000005116,2.1316282072803005e-15
2025-11-17,20,sell,250000,0.010000000000047748,0.020000000000010232,0.010000000000005116,2.1316282072803005e-15
2025-11-17,50,buy,250000,0.01439999999996644,0.020000000000038654,0.010000000000005116,8.799999999922647e-05
2025-11-17,50,sell,250000,0.014999999999986358,0.021199999999993224,0.010000000000005116,9.999999999962483e-05
2025-11-17,100,buy,250000,0.014999999999986358,0.024499999999989086,0.010000000000005116,4.9999999999812415e-05
2025-11-17,100,sell,250000,0.01500000000001478,0.025000000000005684,0.010000000000005116,5.000000000009663e-05
2025-11-17,200,buy,249998,0.017500000000012506,0.028500000000008185,0.010000000000005116,3.750000000003695e-05
2025-11-17,200,sell,249997,0.01845000000002983,0.029400000000038062,0.010000000000005116,4.2250000000123576e-05
2025-11-17,400,buy,249749,0.02349999999998431,0.03660000000002128,0.010000000000005116,3.3749999999947986e-05
2025-11-17,400,sell,249835,0.024475000000023783,0.03762499999999136,0.010000000000005116,3.618750000004667e-05
2025-11-17,600,buy,248410,0.028966666666661922,0.0435833333333477,0.010000000000005116,3.1611111111094676e-05
2025-11-17,600,sell,248733,0.029883333333287965,0.04481666666669071,0.010000000000005116,3.3138888888804746e-05
2025-11-18,10,buy,250000,0.014999999999986358,0.024999999999977263,0.015000000000000568,0.0
2025-11-18,10,sell,250000,0.014999999999986358,0.024999999999977263,0.015000000000000568,0.0
2025-11-18,20,buy,250000,0.014999999999986358,0.024999999999977263,0.015000000000000568,0.0
2025-11-18,20,sell,250000,0.014999999999986358,0.025000000000005684,0.015000000000000568,0.0
2025-11-18,50,buy,250000,0.014999999999986358,0.025000000000005684,0.015000000000000568,0.0
2025-11-18,50,sell,250000,0.01500000000001478,0.025000000000005684,0.015000000000000568,2.842170943040401e-16
2025-11-18,100,buy,250000,0.01500000000001478,0.02750000000000341,0.015000000000000568,1.4210854715202004e-16
2025-11-18,100,sell,250000,0.016400000000032833,0.029000000000024784,0.015000000000000568,1.4000000000322643e-05
2025-11-18,200,buy,249993,0.01999999999998181,0.032500000000027285,0.015000000000000568,2.4999999999906208e-05
2025-11-18,200,sell,249996,0.020250000000032742,0.034000000000020236,0.015000000000000568,2.6250000000160866e-05
2025-11-18,400,buy,249518,0.02610000000001378,0.041550000000000864,0.015000000000000568,2.7750000000033024e-05
2025-11-18,400,sell,249673,0.026949999999999363,0.043019999999967674,0.015000000000000568,2.9874999999996986e-05
2025-11-18,600,buy,246670,0.031766666666641186,0.04923333333329083,0.015000000000000568,2.794444444440103e-05
2025-11-18,600,sell,247194,0.03254999999998631,0.05045000000004052,0.015000000000000568,2.924999999997624e-05
2025-11-19,10,buy,250000,0.014999999999986358,0.020000000000010232,0.015000000000000568,0.0
2025-11-19,10,sell,250000,0.014999999999986358,0.020000000000010232,0.015000000000000568,0.0
2025-11-19,20,buy,250000,0.014999999999986358,0.020000000000010232,0.015000000000000568,0.0
2025-11-19,20,sell,250000,0.014999999999986358,0.020000000000010232,0.015000000000000568,0.0
2025-11-19,50,buy,250000,0.014999999999986358,0.02299999999993929,0.015000000000000568,0.0
2025-11-19,50,sell,250000,0.014999999999986358,0.02220000000002642,0.015000000000000568,0.0
2025-11-19,100,buy,250000,0.01500000000001478,0.025000000000005684,0.015000000000000568,1.4210854715202004e-16
2025-11-19,100,sell,250000,0.01500000000001478,0.025000000000005684,0.015000000000000568,1.4210854715202004e-16
2025-11-19,200,buy,250000,0.019500000000022055,0.02945000000002551,0.015000000000000568,2.2500000000107436e-05
2025-11-19,200,sell,250000,0.019499999999993634,0.028750000000030695,0.015000000000000568,2.2499999999965324e-05
2025-11-19,400,buy,249977,0.025200000000012324,0.03694999999999027,0.015000000000000568,2.550000000002939e-05
2025-11-19,400,sell,249969,0.02497500000004038,0.03604999999998881,0.015000000000000568,2.4937500000099533e-05
2025-11-19,600,buy,249586,0.030583333333339624,0.043383333333338214,0.015000000000000568,2.597222222223176e-05
2025-11-19,600,sell,249623,0.030166666666701758,0.04233333333337441,0.015000000000000568,2.5277777777835317e-05
2025-11-20,10,buy,250000,0.014999999999986358,0.020000000000038654,0.015000000000000568,0.0
2025-11-20,10,sell,250000,0.014999999999986358,0.021999999999962938,0.015000000000000568,0.0
2025-11-20,20,buy,250000,0.014999999999986358,0.02499999999994884,0.015000000000000568,0.0
2025-11-20,20,sell,250000,0.014999999999986358,0.02499999999994884,0.015000000000000568,0.0
2025-11-20,50,buy,250000,0.01500000000001478,0.025000000000005684,0.015000000000000568,2.842170943040401e-16
2025-11-20,50,sell,250000,0.01500000000001478,0.025000000000005684,0.015000000000000568,2.842170943040401e-16
2025-11-20,100,buy,250000,0.01650000000000773,0.026500000000027057,0.015000000000000568,1.5000000000071622e-05
2025-11-20,100,sell,250000,0.017300000000005866,0.027000000000015234,0.015000000000000568,2.3000000000052977e-05
2025-11-20,200,buy,249997,0.02009999999998513,0.03135000000000332,0.015000000000000568,2.5499999999922808e-05
2025-11-20,200,sell,250000,0.020800000000008367,0.03174999999998818,0.015000000000000568,2.9000000000038994e-05
2025-11-20,400,buy,249980,0.02647500000000491,0.039249999999981355,0.015000000000000568,2.868750000001086e-05
2025-11-20,400,sell,249885,0.027200000000050295,0.04005000000000791,0.015000000000000568,3.0500000000124317e-05
2025-11-20,600,buy,249601,0.032083333333361,0.046116666666620176,0.015000000000000568,2.847222222226738e-05
2025-11-20,600,sell,248805,0.03288333333333071,0.047350000000022874,0.015000000000000568,2.9805555555550236e-05
2025-11-21,10,buy,250000,0.014999999999986358,0.020000000000038654,0.015000000000000568,0.0
2025-11-21,10,sell,250000,0.014999999999986358,0.023000000000052978,0.015000000000000568,0.0
2025-11-21,20,buy,250000,0.014999999999986358,0.024499999999989086,0.015000000000000568,0.0
2025-11-21,20,sell,250000,0.014999999999986358,0.024999999999977263,0.015000000000000568,0.0
2025-11-21,50,buy,250000,0.014999999999986358,0.025000000000005684,0.015000000000000568,0.0
